card_id,account_id,card_type,card_number,expiry_date,cvv,status
1,380,Debit,2.23709E+15,2027-09-01,732,Blocked
2,4864,Credit,4.61821E+15,2028-01-01,627,Active
3,1955,Debit,6.0114E+15,1933-02-01,188,Blocked
4,2095,Credit,3.54778E+15,1931-06-01,787,Blocked
5,6849,Credit,2.72015E+15,2027-07-01,355,Active
6,5785,Debit,3.58028E+15,1934-11-01,791,Blocked
7,1391,Credit,5.01851E+11,1933-11-01,459,Active
8,4490,Debit,1.80075E+14,1932-04-01,507,Active
9,3388,Credit,2.13149E+14,1932-12-01,133,Active
10,6299,Credit,3.52644E+15,2026-09-01,355,Blocked
11,573,Credit,4.58892E+12,1934-10-01,866,Blocked
12,5621,Credit,2.72007E+15,1932-01-01,678,Active
13,3229,Debit,4.51213E+18,2026-10-01,992,Blocked
14,2474,Credit,4.9141E+12,2029-06-01,714,Active
15,2380,Debit,3.0376E+13,1934-07-01,366,Active
16,6219,Credit,2.70765E+15,1930-08-01,394,Blocked
17,899,Credit,4.63567E+15,2026-01-01,408,Blocked
18,1893,Debit,4.84986E+18,1935-05-01,492,Blocked
19,1364,Credit,2.52237E+15,1935-08-01,974,Active
20,2618,Credit,3.53031E+15,2027-08-01,441,Active
21,2987,Credit,4.33084E+12,2026-01-01,741,Blocked
22,1920,Debit,4.07277E+12,2027-04-01,542,Blocked
23,3304,Debit,2.24329E+15,2026-06-01,531,Active
24,4424,Debit,6.39045E+11,1933-09-01,321,Active
25,3118,Credit,4.52098E+18,2025-10-01,964,Active
26,6491,Debit,3.76552E+14,1932-07-01,765,Blocked
27,990,Credit,6.5633E+15,1931-06-01,482,Active
28,5627,Credit,2.1317E+14,2029-07-01,178,Blocked
29,5210,Credit,2.1312E+14,1930-03-01,372,Blocked
30,599,Credit,4.73935E+18,2029-01-01,220,Blocked
31,1795,Credit,4.25104E+15,1931-05-01,616,Active
32,1267,Credit,4.54824E+18,1934-02-01,805,Active
33,2865,Debit,3.51806E+15,2026-07-01,741,Blocked
34,1705,Credit,6.39085E+11,1933-08-01,103,Active
35,6903,Debit,5.62865E+11,2029-07-01,830,Active
36,3042,Credit,4.32606E+18,2028-12-01,731,Active
37,6582,Credit,4.12016E+15,1930-11-01,897,Active
38,5205,Debit,4.8248E+12,2027-09-01,778,Blocked
39,4352,Credit,6.76189E+11,2028-07-01,888,Blocked
40,2037,Credit,2.28994E+15,1931-05-01,349,Active
41,6357,Debit,3.4414E+14,1930-09-01,988,Active
42,3852,Credit,2.13155E+14,1932-12-01,561,Blocked
43,439,Debit,3.44732E+14,1934-05-01,544,Blocked
44,4113,Credit,3.56533E+15,1932-11-01,186,Active
45,260,Credit,3.54807E+15,1935-03-01,808,Active
46,2339,Debit,6.50056E+15,2029-03-01,826,Active
47,2512,Debit,4.89671E+18,2028-06-01,924,Active
48,3720,Credit,5.56514E+15,1932-08-01,965,Blocked
49,3772,Credit,6.01128E+15,1933-07-01,749,Blocked
50,5522,Debit,3.75844E+14,1934-03-01,630,Blocked
51,6315,Credit,2.283E+15,1932-08-01,771,Blocked
52,4325,Credit,1.80008E+14,1934-07-01,992,Active
53,4594,Debit,4.52977E+18,1933-05-01,893,Blocked
54,3517,Credit,2.1314E+14,1930-10-01,882,Active
55,1369,Debit,4.66455E+12,1934-09-01,733,Blocked
56,1742,Credit,4.25297E+12,1933-12-01,181,Active
57,5462,Debit,3.58306E+15,1931-04-01,595,Blocked
58,4764,Credit,4.13422E+18,1933-05-01,165,Active
59,4359,Debit,4.68316E+15,1935-06-01,670,Active
60,3148,Debit,3.55198E+15,2026-01-01,705,Active
61,4930,Debit,4.85891E+18,1933-02-01,188,Active
62,2941,Credit,3.00313E+13,2027-09-01,696,Blocked
63,1150,Debit,4.45811E+15,1934-08-01,997,Active
64,4166,Credit,4.05437E+12,1931-02-01,557,Active
65,6507,Credit,4.63499E+18,2027-04-01,380,Blocked
66,1987,Credit,4.51489E+18,1932-08-01,711,Blocked
67,1626,Debit,4.30958E+15,1933-09-01,495,Active
68,2142,Credit,3.55554E+15,2029-03-01,863,Active
69,5187,Debit,1.80081E+14,1931-10-01,245,Blocked
70,2437,Credit,4.38216E+18,2027-11-01,690,Blocked
71,6268,Credit,4.96553E+12,1934-07-01,872,Active
72,2603,Debit,4.89371E+15,1931-11-01,259,Blocked
73,1013,Debit,4.08353E+18,1935-06-01,413,Blocked
74,5570,Credit,1.80018E+14,1932-08-01,554,Blocked
75,5904,Credit,4.87633E+15,1932-04-01,210,Active
76,4357,Credit,6.76239E+11,1930-06-01,230,Blocked
77,2976,Credit,3.75082E+14,1933-01-01,716,Active
78,4216,Debit,3.0192E+13,2027-06-01,677,Blocked
79,4556,Credit,4.41197E+12,2027-03-01,420,Active
80,572,Credit,3.03755E+13,1932-06-01,454,Active
81,5980,Credit,5.01842E+11,1931-06-01,658,Active
82,1062,Debit,3.49944E+14,1933-09-01,988,Active
83,2280,Debit,3.0282E+13,2027-10-01,677,Blocked
84,1138,Debit,4.3805E+15,1933-07-01,871,Active
85,6292,Credit,4.43512E+18,1933-01-01,704,Blocked
86,4871,Credit,3.7244E+14,2027-10-01,591,Active
87,2601,Credit,6.58835E+15,1933-07-01,530,Blocked
88,5624,Debit,6.76354E+11,2028-11-01,824,Active
89,4142,Credit,4.97143E+18,1930-09-01,712,Blocked
90,5255,Credit,3.73266E+14,1932-05-01,890,Active
91,3943,Debit,3.70243E+14,1932-05-01,962,Active
92,599,Debit,4.65682E+12,2028-12-01,531,Blocked
93,1686,Debit,3.53255E+15,1930-03-01,102,Active
94,3097,Debit,3.50689E+15,1935-08-01,952,Active
95,2173,Credit,3.48672E+14,1934-01-01,603,Active
96,1115,Debit,3.53583E+15,1932-05-01,325,Active
97,6229,Credit,3.04703E+13,2026-11-01,145,Blocked
98,6473,Debit,4.162E+12,2027-02-01,209,Blocked
99,4556,Credit,3.56982E+15,1930-07-01,155,Active
100,480,Credit,2.13102E+14,2027-01-01,917,Active
101,3024,Credit,4.37764E+15,2027-12-01,115,Active
102,6143,Credit,3.42669E+14,1934-03-01,833,Active
103,5323,Credit,3.5391E+15,1933-05-01,785,Active
104,5056,Credit,3.45214E+14,1930-05-01,832,Active
105,4999,Debit,1.80042E+14,1930-03-01,791,Active
106,6043,Debit,2.26409E+15,2029-04-01,513,Blocked
107,3335,Credit,4.48041E+15,1932-01-01,942,Blocked
108,942,Debit,4.33879E+12,2026-12-01,785,Active
109,5915,Credit,3.67233E+13,2028-11-01,816,Blocked
110,4409,Credit,3.48148E+14,2026-09-01,896,Active
111,5945,Credit,4.59304E+12,1932-12-01,442,Active
112,5229,Credit,3.52972E+15,1934-09-01,690,Blocked
113,5545,Debit,60434465484,1930-08-01,643,Active
114,999,Debit,6.01123E+15,1934-02-01,647,Blocked
115,5446,Debit,3.50371E+15,1932-03-01,896,Blocked
116,1263,Debit,6.01132E+15,1933-07-01,682,Blocked
117,2077,Credit,6.76205E+11,1934-01-01,930,Blocked
118,6795,Debit,2.13172E+14,1934-02-01,747,Blocked
119,4962,Debit,6.01101E+15,1932-06-01,206,Blocked
120,2671,Debit,2.13198E+14,1932-02-01,530,Active
121,4728,Credit,3.05295E+13,1932-03-01,283,Active
122,3059,Credit,4.85924E+15,1933-10-01,556,Active
123,1286,Debit,4.81713E+12,2025-09-01,302,Blocked
124,443,Credit,1.80023E+14,1935-03-01,713,Blocked
125,6639,Debit,3.46276E+14,2027-09-01,732,Blocked
126,828,Credit,3.59309E+15,1932-11-01,821,Blocked
127,4131,Debit,6.54635E+15,1935-07-01,725,Active
128,3611,Debit,6.57866E+15,1930-04-01,870,Active
129,6340,Credit,3.56937E+15,1931-02-01,623,Blocked
130,3884,Credit,4.28427E+15,1933-08-01,588,Active
131,3354,Credit,5.80433E+11,1935-09-01,114,Blocked
132,2272,Credit,6.30472E+11,1930-06-01,819,Active
133,4356,Debit,2.60133E+15,1933-01-01,174,Active
134,4532,Credit,4.30242E+18,1935-04-01,901,Active
135,6740,Debit,3.05362E+13,2028-05-01,472,Active
136,2580,Debit,1.80003E+14,2029-08-01,832,Blocked
137,5839,Credit,2.13123E+14,1934-04-01,681,Active
138,887,Debit,2.13105E+14,1934-04-01,838,Blocked
139,1887,Debit,4.12326E+18,2028-06-01,132,Active
140,3337,Debit,4.25898E+15,1931-11-01,589,Blocked
141,1600,Credit,3.03217E+13,1931-07-01,506,Active
142,6319,Debit,4.82115E+15,2028-10-01,623,Active
143,6302,Debit,2.22219E+15,2029-01-01,430,Blocked
144,5263,Credit,6.5156E+15,2026-05-01,581,Active
145,6773,Credit,4.44811E+18,2028-03-01,219,Active
146,5665,Credit,6.01168E+15,1933-11-01,486,Blocked
147,4225,Debit,4.86199E+18,1931-08-01,713,Active
148,6543,Credit,4.46462E+12,1931-06-01,934,Active
149,3769,Debit,4.68088E+12,1934-10-01,685,Active
150,2444,Debit,3.55414E+15,2029-08-01,718,Blocked
151,6061,Credit,2.28087E+15,2029-06-01,283,Active
152,3424,Debit,3.533E+15,2029-10-01,237,Active
153,133,Debit,3.55757E+15,2027-10-01,391,Blocked
154,5621,Credit,3.52268E+15,1931-11-01,342,Active
155,365,Credit,3.0571E+13,1931-01-01,248,Blocked
156,6085,Credit,3.73714E+14,2029-08-01,509,Blocked
157,3227,Debit,5.80773E+11,1932-06-01,344,Blocked
158,1910,Credit,3.05256E+13,1934-07-01,874,Active
159,5569,Credit,60471888093,1932-10-01,850,Blocked
160,5960,Credit,4.42854E+18,1932-12-01,628,Active
161,3737,Debit,2.13185E+14,2028-06-01,969,Blocked
162,6704,Debit,4.74246E+18,2029-01-01,944,Blocked
163,3473,Debit,4.60664E+15,1933-06-01,105,Blocked
164,3856,Credit,2.7175E+15,2028-05-01,431,Blocked
165,5092,Credit,3.44565E+14,2025-12-01,941,Blocked
166,2420,Credit,6.39036E+11,1933-01-01,828,Blocked
167,5538,Debit,3.52978E+15,1935-07-01,387,Active
168,2969,Credit,4.17022E+15,1933-03-01,185,Blocked
169,4048,Debit,6.01154E+15,1931-04-01,925,Blocked
170,5929,Debit,2.27051E+15,1930-10-01,362,Active
171,901,Debit,4.50569E+12,1935-07-01,146,Active
172,2108,Credit,4.72211E+18,1935-02-01,539,Blocked
173,159,Debit,60412333415,2029-10-01,579,Active
174,4887,Credit,4.36427E+15,1932-07-01,716,Active
175,4422,Credit,3.58006E+15,1934-07-01,794,Blocked
176,2352,Credit,3.58176E+15,1932-09-01,226,Blocked
177,724,Debit,6.01195E+15,1932-07-01,696,Active
178,948,Credit,3.53468E+15,1934-05-01,558,Active
179,4832,Debit,3.63388E+13,1934-07-01,815,Active
180,6070,Debit,4.8504E+18,2029-10-01,567,Blocked
181,164,Debit,2.1316E+14,2025-09-01,848,Active
182,3222,Debit,4.00095E+15,1931-07-01,414,Active
183,3602,Credit,4.03978E+12,1935-02-01,849,Active
184,2240,Credit,3.58387E+15,1930-08-01,503,Active
185,3614,Credit,1.80068E+14,2027-06-01,819,Blocked
186,2486,Debit,3.50883E+15,1930-04-01,239,Active
187,4773,Credit,4.8745E+18,1931-03-01,347,Blocked
188,1554,Credit,3.53608E+15,2025-11-01,149,Active
189,6228,Debit,5.53497E+15,1930-04-01,774,Blocked
190,2645,Debit,3.72078E+14,1935-04-01,729,Blocked
191,2105,Credit,4.33911E+18,1933-10-01,251,Blocked
192,1911,Debit,3.52838E+15,1931-03-01,887,Blocked
193,3829,Credit,2.13115E+14,1931-06-01,776,Active
194,4132,Credit,3.51842E+15,1933-11-01,447,Blocked
195,2610,Credit,3.51071E+15,1933-04-01,465,Blocked
196,1352,Debit,5.28573E+15,1930-07-01,229,Blocked
197,3101,Debit,6.01174E+15,1934-07-01,102,Active
198,5286,Credit,3.55899E+15,1931-05-01,618,Blocked
199,6894,Credit,4.1994E+15,1933-04-01,666,Active
200,6200,Credit,3.57123E+15,1930-01-01,438,Blocked
201,6562,Debit,4.4699E+15,1930-04-01,720,Blocked
202,4211,Debit,3.70841E+14,2028-06-01,277,Active
203,4541,Credit,3.43987E+14,1931-09-01,307,Blocked
204,4314,Credit,3.04843E+13,2026-08-01,224,Active
205,5483,Credit,2.13118E+14,1934-05-01,235,Active
206,3162,Debit,1.8007E+14,1932-07-01,263,Active
207,4833,Debit,4.53399E+18,2027-05-01,842,Blocked
208,1556,Credit,3.57755E+15,1933-02-01,453,Blocked
209,3569,Debit,4.25381E+18,1931-04-01,918,Active
210,1856,Credit,3.58168E+15,2027-04-01,115,Blocked
211,542,Debit,4.34658E+15,2027-04-01,628,Blocked
212,4230,Debit,4.85895E+18,2029-10-01,932,Active
213,5543,Credit,3.55154E+15,1932-11-01,244,Active
214,2504,Credit,4.41219E+15,1932-12-01,716,Blocked
215,5910,Credit,6.76339E+11,2029-11-01,134,Active
216,6666,Debit,6.30409E+11,1930-06-01,310,Active
217,5162,Credit,2.71409E+15,1932-12-01,517,Blocked
218,5292,Debit,3.55962E+15,1931-08-01,238,Blocked
219,608,Credit,4.08849E+12,1933-03-01,613,Blocked
220,6296,Credit,4.10972E+15,2026-12-01,588,Active
221,1062,Credit,2.22608E+15,1934-08-01,398,Blocked
222,3217,Debit,4.54742E+15,2026-04-01,773,Blocked
223,510,Debit,3.03377E+13,1933-10-01,684,Active
224,29,Credit,3.56065E+15,1930-09-01,851,Active
225,4580,Credit,2.36501E+15,1931-05-01,992,Blocked
226,2808,Debit,3.56289E+15,2027-09-01,247,Blocked
227,1416,Debit,2.29324E+15,1935-09-01,938,Active
228,626,Credit,4.58498E+15,2027-04-01,355,Blocked
229,2594,Credit,3.59823E+15,2028-05-01,474,Blocked
230,3378,Credit,4.45702E+15,2025-11-01,590,Active
231,99,Debit,4.90055E+18,2025-11-01,842,Blocked
232,1681,Credit,4.95468E+12,1935-01-01,725,Blocked
233,4442,Credit,3.59052E+15,2027-08-01,899,Blocked
234,4602,Credit,1.8007E+14,2029-08-01,472,Blocked
235,494,Debit,4.09605E+15,2028-11-01,533,Blocked
236,113,Debit,4.37075E+18,2028-10-01,880,Active
237,467,Credit,3.53031E+15,2026-11-01,176,Blocked
238,3654,Credit,2.24358E+15,2028-06-01,682,Active
239,6905,Debit,3.80057E+13,1932-07-01,150,Active
240,3119,Debit,5.02042E+11,2026-03-01,958,Blocked
241,4826,Debit,3.73217E+14,1930-06-01,858,Blocked
242,6443,Debit,3.4384E+14,2026-06-01,864,Active
243,2516,Debit,4.59502E+15,1931-06-01,791,Active
244,1542,Debit,4.26011E+15,2026-03-01,406,Active
245,1478,Debit,3.78389E+14,1930-09-01,178,Blocked
246,5442,Debit,4.05595E+12,2026-10-01,414,Active
247,3447,Credit,3.77931E+14,1930-07-01,332,Blocked
248,2307,Debit,4.79873E+15,1933-01-01,825,Active
249,4224,Credit,4.42358E+15,2027-07-01,226,Active
250,5566,Debit,3.5345E+15,1934-04-01,827,Active
251,4336,Debit,60454216460,2025-10-01,524,Blocked
252,3267,Credit,3.56553E+15,2025-09-01,409,Blocked
253,5889,Credit,4.5254E+15,1934-08-01,915,Blocked
