customer_id,first_name,last_name,dob,gender,email,phone,address,account_open_date
1,Melissa,Odonnell,1960-05-22,F,featon@hotmail.com,(743)610-1683x73530,"Unit 0636 Box 1406, DPO AE 16536",2025-04-14
2,Ashley,Smith,1987-03-22,M,nboyer@gomez-barber.info,719-781-9306x927,"60134 Maldonado Skyway Apt. 938, Nicolemouth, IA 40769",2024-07-20
3,Justin,Shelton,2001-08-12,M,calebvazquez@gmail.com,654.163.8439,"38614 Tammy Lights, East Kristi, IA 38521",2023-05-04
4,Lauren,Perry,1984-02-24,F,lisalindsey@gardner.com,(925)073-1289x377,"93862 Adams Ville, East Tanner, VA 52989",2018-10-31
5,Karen,Hunter,1994-04-12,F,brownkyle@burnett-foster.com,(130)828-1190,"384 Stevens Stravenue, Ginaport, SC 63024",2025-02-21
6,Dennis,Oneill,1995-01-04,F,davidbautista@santiago.com,(545)640-0547x452,"77108 Williams Estates Suite 359, Macdonaldmouth, KS 28179",2022-09-06
7,Catherine,Caldwell,1978-07-08,F,angelicaramos@bell.org,860-272-6739,"33646 Johnson Way, Ramoshaven, KY 34787",2025-07-09
8,Sabrina,Vaughn,1984-09-04,M,anthonyarmstrong@bell.biz,+1-977-844-6725x756,"310 Michelle Neck, Combsport, OK 28332",2021-01-13
9,Danielle,Clark,1984-04-10,M,cruzandrea@ellis.com,511-622-0829,"03675 Ashley Lakes, North Chelsealand, OK 33385",2016-07-20
10,Edgar,Ball,1956-08-08,F,johnedwards@gmail.com,(011)354-7340,"59494 Shelby Throughway Apt. 350, Jennyview, VA 81387",2024-09-19
11,Stephanie,Tanner,1989-08-17,F,uking@smith-johnson.com,722.470.4105,"791 Danielle Fall Apt. 274, Brentland, RI 99415",2021-03-14
12,Manuel,Valdez,1997-11-29,M,ubowman@odonnell.com,001-763-072-4132x6503,"8543 Amanda Street Apt. 303, Knightland, OR 63496",2023-12-11
13,Shane,Vaughn,1988-01-06,F,theresamartinez@bray.biz,432.986.4921,"81127 Owens Meadows Suite 932, West Brendachester, ME 11878",2015-12-09
14,Joseph,Morris,1988-01-27,F,garciagregg@anderson-harding.org,001-332-238-9145x16116,"243 Alexandra Oval, Josephland, CT 52972",2022-05-06
15,Stephanie,Larson,1983-07-18,M,mparsons@gmail.com,996.535.0932,"360 Camacho Forges, Port Justin, NV 09907",2015-09-03
16,Jeff,Adams,1988-04-12,M,hortonjennifer@griffin.net,614.870.4310x327,"004 Drew Row, Hannahport, NH 92410",2022-12-06
17,Natasha,Griffin,1952-11-23,F,maddoxheather@hotmail.com,(024)552-7542,"3656 Foster Trace Apt. 053, South Dawn, MD 76862",2021-09-21
18,Matthew,Hunter,1955-09-13,M,ghartman@salas.biz,+1-479-609-2107x22554,"3744 Deborah Course Apt. 758, Curryton, NH 01322",2018-04-10
19,Tiffany,Bonilla,1974-10-18,F,gregory06@hotmail.com,296-478-0383x1275,"63062 Duncan Loop Apt. 946, East Kimberly, SD 19515",2017-02-10
20,Claire,Walters,1977-11-23,M,elizabeth02@yahoo.com,(831)747-3902x893,"21016 Harris Curve, Jimenezfurt, KY 25549",2024-01-03
21,Tina,Thompson,1986-12-21,F,arnoldkelly@gonzales-roberts.net,(637)933-5925x60318,"2696 Hanson Lights Apt. 601, New Joelville, MT 58738",2018-07-04
22,Dawn,Stone,1960-01-06,F,tina93@berger.com,(023)645-0449x717,"1117 Cristian Bypass Apt. 833, Jenniferhaven, AL 53627",2020-11-11
23,Michelle,Baird,1994-03-04,M,ubradley@buck.org,+1-248-643-0886x5548,"Unit 3628 Box 9212, DPO AE 52139",2021-02-23
24,Paul,Rodriguez,1974-07-30,F,smithkathryn@gmail.com,470-549-6302x080,"63176 Hahn Gateway, Port Sherry, SD 02185",2022-09-29
25,Stephen,Collier,1967-10-24,M,morgan58@gmail.com,(932)192-9422x677,"993 Edwards Hollow Suite 839, Cookstad, KS 31161",2018-12-26
26,Alexander,Pham,2006-03-10,M,wardjoanne@brown.com,(366)670-2810x23442,"5347 Roman Island, Vargastown, MD 87381",2018-06-05
27,Megan,Tran,1974-08-04,M,curtiswilson@mccarthy-larson.biz,(876)309-4482x04902,"19991 Webb Crossing Suite 412, West Johnbury, KY 68871",2017-12-18
28,Jessica,Porter,1950-11-01,M,smithmaria@gmail.com,001-263-434-4809,"42470 Brown Heights, North Shirleyhaven, SC 42161",2015-10-21
